验证序号,验证目标,验证数据集,验证模型,数据划分方式,异常值剔除,特征模式,时间窗口,预测时长,RMSE,MAE,MSE,R2,训练时间(秒),状态,日志文件
106,目标11: 验证线性规划的基准模型,TX1,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 hour,10.928153791381504,9.77014446258545,119.42454528808595,-9.050683975219727,0.15959811210632324,success,logs/exp_106.log
107,目标11: 验证线性规划的基准模型,TX1,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 day,11.022520074443227,9.900275230407715,121.49594879150392,-9.23218822479248,3.366316080093384,success,logs/exp_107.log
108,目标11: 验证线性规划的基准模型,TX1,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 week,10.519748463107414,9.351346015930176,110.6651077270508,-8.45275592803955,412.4578356742859,success,logs/exp_108.log
109,目标11: 验证线性规划的基准模型,TX2,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 hour,6.2971354920529885,5.073713779449463,39.65391540527343,0.6536627411842346,0.12692880630493164,success,logs/exp_109.log
110,目标11: 验证线性规划的基准模型,TX2,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 day,6.000303260768693,4.849652290344238,36.003639221191406,0.6848199367523193,2.2667970657348633,success,logs/exp_110.log
111,目标11: 验证线性规划的基准模型,TX2,LinearRegression,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-4倍,1 week,5.937007843500719,4.814407825469971,35.24806213378906,0.6846269965171814,225.75321197509766,success,logs/exp_111.log
