Transformer,Model,Split,Lookback,Horizon,RMSE,MAE,R2
1,LinearRegression,random_80_20,48,1,10.189932823181152,4.359073638916016,-0.8051185525304763
1,Ridge,random_80_20,48,1,8.685890197753906,4.212631702423096,-0.311571160204682
1,RandomForest,random_80_20,48,1,1.8928458862271598,1.3023899775141288,0.9377135394808094
1,MLP,random_80_20,48,1,2.955963611602783,2.232847213745117,0.8480987570238223
2,LinearRegression,random_80_20,24,1,22.846956253051758,4.237046718597412,-2.6199974263245016
2,Ridge,random_80_20,24,1,9.035109519958496,3.9453125,0.4338670032781484
2,RandomForest,random_80_20,24,1,2.2310624062204063,1.6319010142393153,0.9654796650713824
2,MLP,random_80_20,24,1,3.572019100189209,2.7462422847747803,0.9115130705397274
