experiment_id,transformer_id,model,split_method,feature_mode,data_suffix,test_ratio,n_features,n_train,n_test,train_time,RMSE,MAE,R2,lookback,horizon,gap,lookback_multiplier
exp_048,1,RNN,random_window,full,,0.2,21,32000,8000,133.80229258537292,3.1927895545959473,2.3418233394622803,0.8253799676895142,6.0,1.0,0.0,6.0
exp_049,1,RNN,random_window,full,,0.2,21,32000,8000,38.026142597198486,3.915489912033081,3.0641191005706787,0.7366127967834473,48.0,24.0,0.0,2.0
exp_050,1,RNN,random_window,full,,0.2,21,32000,8000,34.75048804283142,3.84588885307312,2.9902777671813965,0.7443456053733826,96.0,24.0,0.0,4.0
exp_051,1,RNN,random_window,full,,0.2,21,32000,8000,36.41960883140564,4.137760639190674,3.3080551624298096,0.7021241784095764,144.0,24.0,0.0,6.0
exp_052,1,RNN,random_window,full,,0.2,21,32000,8000,45.627984285354614,4.153303623199463,3.2899258136749268,0.6956868171691895,336.0,168.0,0.0,2.0
exp_053,1,RNN,random_window,full,,0.2,21,32000,8000,104.16245675086975,4.057058811187744,3.1365766525268555,0.7043988108634949,672.0,168.0,0.0,4.0
exp_054,1,RNN,random_window,full,,0.2,21,32000,8000,90.01053857803345,3.9669079780578613,2.986295223236084,0.7034541964530945,1008.0,168.0,0.0,6.0
exp_055,2,RNN,random_window,full,,0.2,17,32000,8000,117.6033079624176,3.888047218322754,3.0222113132476807,0.8941147923469543,2.0,1.0,0.0,2.0
exp_056,2,RNN,random_window,full,,0.2,17,32000,8000,133.3891100883484,3.7402851581573486,2.8884222507476807,0.9018833637237549,4.0,1.0,0.0,4.0
exp_057,2,RNN,random_window,full,,0.2,17,32000,8000,167.02189254760742,3.5731184482574463,2.768970489501953,0.9102585315704346,6.0,1.0,0.0,6.0
exp_058,2,RNN,random_window,full,,0.2,17,32000,8000,39.16384029388428,4.327250003814697,3.3597195148468018,0.863956868648529,48.0,24.0,0.0,2.0
exp_059,2,RNN,random_window,full,,0.2,17,32000,8000,58.09377646446228,4.167553424835205,3.2409849166870117,0.8762859106063843,96.0,24.0,0.0,4.0
exp_060,2,RNN,random_window,full,,0.2,17,32000,8000,50.12962245941162,4.31032657623291,3.326247453689575,0.8696637153625488,144.0,24.0,0.0,6.0
exp_061,2,RNN,random_window,full,,0.2,17,32000,8000,68.9461727142334,4.409648418426514,3.4167046546936035,0.8620597720146179,336.0,168.0,0.0,2.0
exp_062,2,RNN,random_window,full,,0.2,17,32000,8000,63.27005076408386,4.5036773681640625,3.4966182708740234,0.8572882413864136,672.0,168.0,0.0,4.0
exp_063,2,RNN,random_window,full,,0.2,17,32000,8000,173.6265344619751,4.432179927825928,3.4730849266052246,0.86257004737854,1008.0,168.0,0.0,6.0
exp_064,1,Informer,random_window,full,,0.2,21,32000,8000,124.95018744468689,4.518157958984375,3.4688055515289307,0.6480814218521118,4.0,1.0,0.0,4.0
exp_064_test,1,Informer,random_window,full,,0.2,21,32000,8000,225.2656409740448,3.9713926315307617,3.093423366546631,0.7281025648117065,4.0,1.0,0.0,4.0
exp_065,1,RNN,random_window,full,,0.2,21,32000,8000,38.67361354827881,3.84588885307312,2.9902777671813965,0.7443456053733826,96.0,24.0,0.0,4.0
exp_066,1,RNN,random_window,full,,0.2,21,32000,8000,103.15641736984253,4.057058811187744,3.1365766525268555,0.7043988108634949,672.0,168.0,0.0,4.0
exp_067,2,Informer,random_window,full,,0.2,17,32000,8000,119.84228086471558,5.609454154968262,4.4183526039123535,0.7793141603469849,4.0,1.0,0.0,4.0
exp_068,2,RNN,random_window,full,,0.2,17,32000,8000,69.80358982086182,4.167553424835205,3.2409849166870117,0.8762859106063843,96.0,24.0,0.0,4.0
exp_069,2,RNN,random_window,full,,0.2,17,32000,8000,69.2896375656128,4.5036773681640625,3.4966182708740234,0.8572882413864136,672.0,168.0,0.0,4.0
exp_070,1,RandomForest,random_window,time_only,,0.2,15,32000,8000,2.3627371788024902,2.995410193014888,2.2389290971208413,0.8453207669528595,4.0,1.0,0.0,4.0
exp_071,1,RandomForest,chronological,time_only,,0.2,15,52449,13113,0.8830184936523438,7.615575861684208,6.531012727222812,-4.050537679779291,,,,
exp_072,1,RandomForest,group_random,time_only,,0.2,15,32000,8000,2.254870891571045,8.818597219878688,7.633938791243088,-0.551601959522525,4.0,1.0,0.0,4.0
exp_073,1,RandomForest,chronological,full_6loads,_no_outlier,0.2,25,55740,13935,14.724040031433105,7.980023302912817,6.988558656777449,-4.359327804201218,,,,
exp_074,1,RandomForest,chronological,full_6loads,_no_outlier,0.2,25,55744,13936,3.6508195400238037,7.851604616340161,6.833555656089325,-4.188116307570758,,,,
exp_075,1,RandomForest,chronological,full_6loads,_no_outlier,0.2,25,55072,13768,3042.6301498413086,7.828121510023802,6.676099164253995,-4.2343506544547065,,,,
exp_076,2,RandomForest,chronological,full_6loads,_no_outlier,0.2,21,55740,13935,10.980939626693726,5.950455098912183,4.769382911361507,0.6907472998390793,,,,
exp_077,2,RandomForest,chronological,full_6loads,_no_outlier,0.2,21,55648,13912,287.7773115634918,6.383636711576345,4.973324249661849,0.6432625802824818,,,,
exp_078,2,RandomForest,chronological,full_6loads,_no_outlier,0.2,21,55072,13768,2097.1470572948456,6.376716534416664,4.97989737999556,0.6361826161723947,,,,
exp_079,1,MLP,chronological,full_6loads,_no_outlier,0.2,25,55740,13935,93.75462913513184,7.562499523162842,6.3470330238342285,-3.8131871223449707,,,,
exp_080,1,MLP,chronological,full_6loads,_no_outlier,0.2,25,55648,13912,63.212491512298584,7.7199015617370605,6.5182061195373535,-4.019150733947754,,,,
exp_081,1,MLP,chronological,full_6loads,_no_outlier,0.2,25,55072,13768,68.00104880332947,7.169116973876953,5.99005126953125,-3.3901467323303223,,,,
exp_082,2,MLP,chronological,full_6loads,_no_outlier,0.2,21,55740,13935,153.39918732643127,8.154865264892578,6.249656677246094,0.4191731810569763,,,,
exp_083,2,MLP,chronological,full_6loads,_no_outlier,0.2,21,55648,13912,109.60845828056335,9.273648262023926,7.0772705078125,0.2471410632133484,,,,
exp_084,2,MLP,chronological,full_6loads,_no_outlier,0.2,21,55072,13768,98.71539163589478,8.240266799926758,6.615808010101318,0.3924643397331238,,,,
exp_085,1,RNN,chronological,full_6loads,_no_outlier,0.2,25,55740,13935,107.64752149581909,7.936416149139404,6.907933235168457,-4.300915718078613,,,,
exp_086,1,RNN,chronological,full_6loads,_no_outlier,0.2,25,55648,13912,74.05210018157959,8.560583114624023,7.381333351135254,-5.171821594238281,,,,
exp_087,1,RNN,chronological,full_6loads,_no_outlier,0.2,25,55072,13768,92.17221164703369,9.43855094909668,7.781076431274414,-6.609539031982422,,,,
